"year","zone","group","destination","measure","value"
"2009-2010","S01001807","All","All","Count",11
"2007-2008","S01001807","All","All","Count",6
"2011-2012","S01001807","All","All","Count",5
"2010-2011","S01001807","All","All","Count",12
"2008-2009","S01001807","All","All","Count",7
"2008-2009","S01001807","All","Positive","Ratio","85.7"
"2009-2010","S01001807","All","Positive","Ratio",100
"2010-2011","S01001807","All","Positive","Ratio",100
"2007-2008","S01001807","All","Positive","Ratio",100
"2011-2012","S01001807","All","Positive","Ratio",100
"2012-2013","S01001807","All","Positive","Ratio",100
"2010-2011","S01001807","All","Other Known","Ratio",0
"2008-2009","S01001807","All","Other Known","Ratio","14.3"
"2009-2010","S01001807","All","Other Known","Ratio",0
"2011-2012","S01001807","All","Other Known","Ratio",0
"2012-2013","S01001807","All","Other Known","Ratio",0
"2007-2008","S01001807","All","Other Known","Ratio",0
"2012-2013","S01001808","All","All","Count",10
"2009-2010","S01001808","All","All","Count",6
"2007-2008","S01001808","All","All","Count",11
"2011-2012","S01001808","All","All","Count",5
"2010-2011","S01001808","All","All","Count",4
"2008-2009","S01001808","All","All","Count",7
"2008-2009","S01001808","All","Positive","Ratio","57.1"
"2009-2010","S01001808","All","Positive","Ratio","83.3"
"2010-2011","S01001808","All","Positive","Ratio",75
"2007-2008","S01001808","All","Positive","Ratio","63.6"
"2011-2012","S01001808","All","Positive","Ratio",80
"2012-2013","S01001808","All","Positive","Ratio",80
"2010-2011","S01001808","All","Other Known","Ratio",25
"2008-2009","S01001808","All","Other Known","Ratio","42.9"
"2009-2010","S01001808","All","Other Known","Ratio","16.7"
"2011-2012","S01001808","All","Other Known","Ratio",20
"2012-2013","S01001808","All","Other Known","Ratio",20
"2007-2008","S01001808","All","Other Known","Ratio","36.4"
"2010-2011","S01001809","All","Other Known","Ratio","46.2"
"2008-2009","S01001809","All","Other Known","Ratio",20
"2009-2010","S01001809","All","Other Known","Ratio","35.3"
"2011-2012","S01001809","All","Other Known","Ratio","35.7"
"2012-2013","S01001809","All","Other Known","Ratio","7.1"
"2007-2008","S01001809","All","Other Known","Ratio","30.8"
"2007-2008","S01001809","All","All","Count",13
"2010-2011","S01001809","All","All","Count",13
"2009-2010","S01001809","All","All","Count",17
"2008-2009","S01001809","All","All","Count",5
"2012-2013","S01001809","All","All","Count",14
"2011-2012","S01001809","All","All","Count",14
"2011-2012","S01001809","All","Positive","Ratio","64.3"
"2012-2013","S01001809","All","Positive","Ratio","92.9"
"2007-2008","S01001809","All","Positive","Ratio","69.2"
"2010-2011","S01001809","All","Positive","Ratio","53.8"
"2008-2009","S01001809","All","Positive","Ratio",80
"2009-2010","S01001809","All","Positive","Ratio","64.7"
"2012-2013","S01001810","All","All","Count",4
"2009-2010","S01001810","All","All","Count",5
"2007-2008","S01001810","All","All","Count",5
"2011-2012","S01001810","All","All","Count",9
